I have no problems logging In,I have no problems accessing my course,I have no problems accessing using canvas app in computer,I have no problems with wired connections,yes I easily get helped,I have no problems accessing canvas outside JRU,I have no problems with my lessons on canvas,i can easily recognize the modules,I have no problems with managing the navigation of the course,I have no problems navigate through the mobile app,some times it is sometimes its not,some times,some times it makes me interested,it really help,they are experts,yes because they are doctors,yes they do,yes it makes it easier,yes i can,yes I find it aligned ,yes I have given enough time 
I don't problem in log in and lagout,I can easily access ,I can easily access,I have no any issues,"I can easily get help
",I can easily access,I can clearly understand,I can easily recognize,I can easily managae,I can easily manage,Yes I noticed that.,I understand alot.,The module of lectures,Very helpul to prepare.,Yes they know how to use it.,Sometimes but not all the meetings.,"Yes, especially to read the modules.",Easily used for students.,I can answer easily.,Yes I find id easily.,Yes especially at weekends.
i have no problems in logging in,i have no problems accessing mobile canvas apps,i have no problems accessing canvas account,i have no issues accessing my canvas,i can easily get help,sometimes i cannot access my canvas in computer shop,i can clearly understand the lessons on canvas,i have no problem recognize the module,i have no problem manage the navigation,i can easily no problem manage the navigation,no problem about connection,i understand all the lessons better,i am more interesting using canvas,it helps me prepare ,My instructor knows how to use Canvas,My instructor demonstrated mastery of the subject matter,My instructor encourages me to use Canvas,Canvas has made it easy for me to,I can answer the assessment materials,yes perfectly,I have been give enough time to accomplish the activities on Canvas.
I have no problems when it comes to logging in and out on my canvas,I have no problems when I'm using canvas app in my phone,I have no problems when I access my canvas account using computers in JRU,I have no issues with it,I have no issues with it,I have no problem with it,I have no problems with it,I can access modules in every subject,I have no issues with it,I have no issues with it,I have no issues with it because we tackle this during face to face discussion,It's a big help for us,It help me a lot,It's a big help,All of them know how to used it,They know a lot,Yes,It's convenient,It's agreat help,It's a great help,It takes time a week to submit all of our activities
i have no problem log in ,yes i can access my course using the mobile app,yes i can access my canvas account using the available computers,yes no issues,yes i can easily get help,yes I can access my Canvas account outside JRU,yes I can clearly understand the lessons on my Canvas modules.,yes i recognize ,yes i can easily manage,yes i can easily manage,no,yes i understand ,yes make me interested,yes can  canvas helped me prepare,yes ,yes,yes i encourages me to use Canvas,yes,yes I can answer the assessment materials,yes I find the course materials on Canvas,yes
i have no problem to log in,Sometimes i cant access,i can acces My canvas using free lab,i have no issues,i can easily get help when i have a problem in my canvas,i can acces my canvas outside jrui c,i can undestand clearly,i recognize,I can easily manage the navigation of my courses ,I can easily manage the navigation of my courses,i have no problem for this,I understand the lessons better ,Canvas course materials make me interested,course materials on Canvas helped me prepare for: Face to face discussions,yes she is better,My instructor demonstrated mastery of the subject matter,My instructor encourages me to use Canvas,"Canvas has made it easy for me to: communicate with my instructor, receive class announcements",I can answer the assessment materials,I find the course materials on Canvas aligned with the,I have been give enough time to accomplish the activities on Canvas
I have no problems in logging in  and logging out,I have no problems in logging in and logging out.,Yes i can access my Canvas account using the available computers in JRU ,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,it makes me prepare for anything.,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to have communication.,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with everything,I have been give enough time to accomplish the activities on Canvas.
yes it easily log-in and log-out my account in canvas,I really can access my course using the mobile phone app,"Yes i can access my canvas account using available computer in JRU.
and easily to use it.",i have no issues accessing my canvas account using the wired internet connection in the computer laboratories.,i can easily get help when i have no problem with my canvas account ,i can access my canvas account outside the JRU. ,i can clearly understand the lessons on my canvas modules.,i recognize that he modules in my course are well organized. ,i really can easily manage the navigation of the course through the desktop version,I can easily manage the navigation of the courses through the mobile app, notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,"The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc",My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas,"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions.","I can answer the assessment materials (quiz, exam) posted in Canvas.","I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.)",I have been give enough time to accomplish the activities on Canvas.
I have no any problem logging-in and out my Canvas account.,I can access easily the mobile Canvas app.,I don't have any problems using available computers in JRU.,"I don't have any issues since it's wired, the possibility of disconnection is low.",The ITBL is approachable.,I don't have any problem accessing the canvas account outside jru.,The modules are well organized.,Easily manageable.,I don't have any problems in desktop version.,I don't have any problems in mobile app.,The modules are related to our lesson.,I can view the modules before class or anytime.,Canvas course materials are interesting.,I can review some of the modules.,Our instructor are well informed and know how to using canvas.,The instructor knows what she's teaching.,Our instructor always gives us a task to do in canvas.,"If we need to communicate with instructor, canvas made easy for me.",I can answer it in time.,I can easily find the course materials.,The time given is a lot so we can complete the activities.
I have no problem in loggin in and out my Canvas Account.,"Yes, I can access my course using the mobile Canvas app.","Yes, I can access my Canvas account using the available computers in JRU.","Yes, I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.","Yes, I can easily get help when I have problems with my Canvas account.","Yes, I can access my Canvas account outside JRU. ","Yes, I can clearly understand the lessons on my Canvas modules.","Yes, I recognize that the modules in my course are well organized.","Yes, I can easily manage the navigation of the courses through the desktop version.","Yes, I can easily manage the navigation of the courses through the mobile app.","Yes, I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.","Yes, I understand the lessons better with the help of course materials in Canvas.","Yes, Canvas course materials make me interested.","Yes, The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc.","Yes, My instructor knows how to use Canvas.","Yes, My instructor demonstrated mastery of the subject matter.","Yes, My instructor encourages me to use Canvas.","Yes, Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions ","Yes, I can answer the assessment materials (quiz, exam) posted in Canvas.","Yes, I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.)","Yes, I have been give enough time to accomplish the activities on Canvas. "
Easy to use,I can easily access my course using the mobile canvass app,easily to access canvass by gmail account,no issues in internet connection,absolutely,No issues on that situation,clear and simple,modules are well organized and simple,easily to manage ,no issues on navigating the courses through mobile ,easily to notify the course materials,no issues in this situation,it is easy and can be downloaded,it helps to review before taking exams,there  lecture is based from the canvas,our professors demonstrated well the lectures,by answering the forums and activities,beacuse they've seen our progress,on time,no issues in this situation,plenty of time
i have no problems in login and out,i have no problems in accessing in mobile canvas app,i have no problems in accessing my canvas account,i have no issues in accessing my canvas account,i have no problems with my canvas account,i have no problems in accessing in mobile canvas in outside of jru,i have no problem lesson in my canvas,i have no problem ,i have no problem to this ,i have no problem to this ,i dont have connection in classroom,i have no problem to this ,i have no problem to this ,i have no problem to this ,i have no problem to this ,i have no problem to this ,i have no problem to this ,i have no problem to this ,i have no problem to this ,i have no problem to this ,i have no problem to this 
I have no problems in logging in,"I am not using the mobile app, I am still using the web version because sometimes I cannot use the canvas app because of some technical problems.",I have no problems in accessing my canvas account in the computer laboratories.,The internet connection is good and I am not experiencing difficulty in logging in.,The ITBL is open all times for support and inquiry.,my canvas account is accessible wherever I am as long as internet connection is available,Modules and Slides are very helpful.,They are sorted according to date uploaded.,The interface is smooth and user-friendly.,I am not using the mobile app. I am using the web version,Modules were further explained in face-toface discussion.,The notes were easy to understand.,There are facts in the modules that boost my interest in reading.,It is my guide for the next topics and also useed as reviewers and recitations.,We have no problems in using canvas,She uploaded necessary quizzes and modules for the subject.,Most of the quizzes and activities were uploaded in Canvas that is why I am always using it.,It is the best communication platform for students and professors.,The exams and quizzes are very handy.,The materials were connected with assessments given by the professor.,The completion time is long enough to complete activities.
I have no problems to log in it.,it easily to use and its not hard to open my account in app ,open lab is free to use that why  I can easily access my canvas account,i can access my canvas account in laboratories .,i can contact my professor if i encounter a problems in my canvas account.,it easily use if I have an internet in my home,its good that in my canvas account i can read modules about our lesson in my course to help me be you.,every week i see the date or weekly i can check my modules in canvas.,I can easily manage the navigation of the courses through the desktop version,I can easily manage the navigation of the courses .,its help me to be productive during the FACE TO FACE LESON ,I understand the lessons better with the help of course materials in Canvas. ,Canvas course materials make me interested.,Because the module in canvas is ican download it to read and understand.,Every time some of my professor teach in canvas module,"My instructor demonstrated mastery of the subject matter, Yes for me",My instructor encourages me to use Canvas to be productive during the quiz or exam and lesson.,they are very kind.,even my professor give us quiz out side the jrui can easly answer it.,no comment sorry.,I have been give enough time to accomplish the activities on Canvas. (Please 
i don't have problems in logging in and logging out,"i don't have problem with mobile canvas app, i can access it.",Computers are running smoothly,wired internet connection don't have issues or problems.,"yes, IT's and Profs are accomodating.",There's no problem in accessing canvas outside JRU.,Everything we need is in the modules.,it is super well organized.,yes it is easy to access courses in desktop version.,yes it is easy to access courses in mobile app version.,"yes, I notice that course materials on Canvas have connection with the face to face.","yes, I understand the lessons better with the help of course materials in Canvas.","yes, Canvas course materials make me interested.","Yes, The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc.","yes, My instructor knows how to use Canvas.","yes, My instructor demonstrated mastery of the subject matter. ","yes, My instructor encourages me to use Canvas.","yes, Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions.","yes, I can answer the assessment materials (quiz, exam) posted in Canvas.","yes, I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.","yes, I have been give enough time to accomplish the activities on Canvas."
I CAN EASILY LOGGING IN ,YES BECAUSE IT'S IN MOBILE EASY TO ACCESS,YES ITS IS EASY,YES I DON'T HAVE ANY ISSUES,YES IT IS EASY TO GET HELP IN CANVAS,YES ITS IS VERY EASY TO BECAUSE OF THE WIFI,YES VERY EASY TO UNDERSAND AND TO LEARN,YES IT IS VERY WELL ORGANIZED,YES BECAUSE THE BUTTONS ARE THERE EASY,YES BECAUSE THE BUTTONS ARE THERE EASY,YES IT IS VERY USE FULL ,YES I UNDERSAND THE LESSON WELL,YES IT IS VERY FUTURESTIC ,YES I CAN EASY GET HELP BECAUSE OF THE IT DEPARTMENT,YES BECAUSE SHE IS A WELL TRAIN PERSON,YES BECAUSE SHE IS A WELL TRAIN PERSON,YES BECAUSE OF MY TEACHER,YES BEACUSE I CAN CONTACT THEM,YES BECAUSE I CAN TAKE THE QUIZ ANYWARE,YES IT IS EASY ,YES BEACAUSE I CAN TAKE MY TIME TO DO IT
I can easily log-in and log-out my canvas account because of faster internet,it is compatible to mobile phone ,there's a lot of computer inside the laboratory,Yes because it is reliable and faster ,Yes because of the staff that approachable ,Yes because of the registration account given by the staff of jru,because of highlighted topics,modules are arrange by sequence and events,compatible,It is well organized,Yes after day the proctor will discuss the modules posted on the canvas,it helps to be prepared,Because of well organized modules,Extra knowledge for any task ,They are all major,They know how to delivered the topics well,in able to answer all the quiz and activity,Yes because of the application ,it is well announce and because of the date posted ,it is all related to the subject,if the proctor will given us a activity it will be announce on the canvas
I don't have any problem with the app.,Accessing on my course is fine.,There is no problem about the concern.,There is no any issues about accessing my canvas account.,It is easy to have an aid on my problems with canvas.,There is no problem about accessing outside the university.,It is very clearly to understand the lesson on my canvas.,The modules in my course are well recognized.,The navigation of the course are easily managed.,It is easy to manage the navigation of the courses through the app.,There is a good connection on the course materials on canvas.,With the help of this app I easily understand the lessons better and clearly.,"With the help of the Canvas, I clearly found it interesting.","On the said set of materials on Canvas, helped me to prepared.",There is nothing wrong about the instructor on using the Canvas.,Our instructor had a great demonstration mastery of the subject matter.,Our instructor does encourages us to use Canvas.,"It is easy to communicate, receive announcements and also has the ability to share some ideas on the group discussions with the help of Canvas.",I can answer the assessment material in Canvas ,"Quizzes, major exams and other tasks on Canvas are well aligned.",I can accomplished my task or activities on Canvas on time.
i have no problems in logging in.,"I'm not using the canvas app because its not that yet fixed, sometimes when the subject have a new activity there are no notifications popping.",I have no problem in the PC's ,I don't have any problem  in accessing my canvas account using the wired internet connection.,Yes because someone can help me or the professors can assist us and also the IT's.,Yes I can easily access because I have no problem in logging in.,Yes because our prof discussed it well .,my courses are well organized,yes,yes,of course it has connection.,yes because the help of course materials in Canvas,because the courses there are detailed,yes,My instructor knows how to use Canvas,My instructor demonstrated mastery of the subject matter.,yes to be updated in the new acitivities,yes,yes ,easy,I have been give enough time to accomplish the activities on Canvas.
everything is good and faster,sometimes it is not cooperating to me,"yes, and it is easy to log in at computer laboratory","yes, i don't have issues about it, because jru provides the best computer laboratory",i always ask first to my teacher about the problem of my accounts,"no, because my account always asking about verification but i cant open it because the phone number that i using in my canvas is my old phone number, that phone is stolen to me.",yes because its provided,always recognize  with my teachers,yesss,yes it always easy to mee,it is always connected,"because it is all in canvas, it is all uploaded",super interested because it is given,because it is better in personal discussion,all my teachers knows,"yes, because they know how to discuss about their subjects","yes, becuase its needed",not all the time.,yes. and im always updated about it,i always find about it,"yes, and im using free lab to use my time to answers my activities"
I don't  have problem within log-in and log-out ,I don't have problem to access into canvas using mobile phone,it easy to access and usable in canvas using the computers in jru ,I don't have issue in accessing my canvas account using the wired internet connection in the computer laboratories.,it easy to get help when something wrong in my canvas ,I can access my Canvas account outside JRU,"Yes, it easy to read and organize the lessons in module",it easy to recognize the topic in modules and it is well organized,"Yes, It easy to identify what course i need to tap/click",It easy to recognize and manage the navigation to courses through mobile app,"Yes, when we lecture and laboratory topics is connected the lessons ",it easy to understand the lessons in canvas because of help of course materials ,"Yes it is interested, because it is easily to understand and organize well the materials in canvas ",yes it is because i can advance reading and home study and I can prepare in to my quizzes and major exams etc.,yes she know how to use the canvas ,"yes, she is good to demonstrated the subject  and i can easily understand ","yes, she's ecouraging me to use canvas and she help when something wrong happens ",i can easily to communicate with my instructure and i can see the announcements of my prof ,i can easily answers the assessment materials using canvas ,i can find easily the course materials on canvas majors exams and assignments etc ,yes i have enought time to accompish the activities 
like doing my activity,yes any time,like doing activities,sometimes ,yes ,yes when i submit my activity,yes when i reading it,yes by subject,yes ,yes easy,yes additional,yes while  doing review,like exam,yes very well,yes every lecture,very well,yes like view,yes very useful,yes i can easyly use,sometimes,sometimes
I can easily log -in and log-out because i have no problem  ,i have no problem when i used mobile canvass,"I can access my canvass account  all the time because i need to used it , especially to doing a lot activities and review my lesson in my subject",I have no issues because the connection fast,i have no problem  in my canvass account,i can access outside the main gate,Sometimes i cannot understand,I have no problem in my modules,i have no problem ,i have no problem ,during class activities,with or without  I can undestand,canvass materials make me interested because easy to used it,using canvass is good ,They are good to used,they are very professional ,because required to used ,i have no problems,i have no problems the assesment materials,"sometimes , i find the course materials on canvass",because sometimes i cannot passed my activities
,,,,,,,,,,,,,,,,,,,,
Yes I can log in and log out my canvas account easily ,No because the mobile app does have a lot of bugs,YES OF COUIRSE,NO ISSUE BECAUSE WIRED IS THE BEST,I dont have any experience about it,yes because of the internet,Yes because its organized,Yes because its organized,Yes because desktop version is good,mobile app has a lot of bugs,yes,yes,yes ,yes canvas helps a lot,yes she knows,yes she is a master,yes all the time,yes because of the message feature.,yes i can answer it because i am smart,No because sometimes its not aligned,dont have enough time because we dont have only 1 subject to give all our time for that deadline
Sometimes the internet connection is slow ,"I agree, although there are some bugs, but it help me to access my files anytime, anywhere","Sometimes, the internet connection is slow","Sometimes, the internet connection is slow",The approachable professors and student assistants are ready to help,I have my phone and internet so i can access it anytime,Detail oriented modules helps me to understand it more,"Sometimes, no",I agree,"I also agree, much handy","It doesn't matter, the matter is canvas brings convenience to us students","I agree, it is more detailed ",Everytime,"I agree, but I experienced taking an exam that is not taught and not in the module","I agree, and they always remind us about the quizzes and activities that is needed to be done","Yes, especially in programming","Always, because all the lessons are there all I have to do is to read","There are times I messaged my constructor, I didn't get any reply",I agree,I agree,"Sometimes, it doesn't. The timer doesn't fit the items that we have to answer"
"Yes, ican easily log-in and log-out my Canvas account.","Yes,  I can access my course using the mobile Canvas app.",I can always access my canvas account using available computers in JRU,"No, I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ","Yes, I can easily get help when I have problems with my Canvas account. ",I can always  access my Canvas account outside JRU.,The modules and lessons in Canvas are easy to understand,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested. ,It helps me a lot ,"Yes, My instructor knows how to use Canvas.",My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas. ,"it is easy to communicate with my instructor,receive class announcements, share ideas on group discussions ","I can answer the assessment materials (quiz, exam) posted in Canvas. ","I find the course materials on Canvas with quizzes, major exams, assignments, and forums. ","yes, I have been give enough time to accomplish the activities on Canvas."
Yes I can access and log out it.,Sometimes not because it is not compatible on browser of the phones,Yes specially on the open laboratory,there are times the signal are fluctuating,Yes they are assisting me on the ITBL office for the canvas concerns,Yes,sometimes not,yes it is full coverage of the lessons in the subject,yes ,yes when the internet connection is stable,sometimes the lesson are different in the lesson that we tackle on the classrom,yes as a practice and learning materials,as a source of lesson summary,Yes they give information for the course,Yes he/she giving the right task for us,He/she giving us the lesson that we need to learn,Through answering quizzes and forums,Yes because they announce well through it,yes because they inform us,yes because well organzed,sometimes not because the prof did not adjusting the time
the internet is sometimes slow.,the internet is very slow,the computers are always availabe,yes. i dont have any issue,by searching through net,at home ,by the help of powerpoint presentation,"yes, it's very organized",because of the wide screen.,sometimes not because of slow internet.,it is somehow related.,canvas is very helpful,easy to use,easy to access,she knows it well.,not at all times,she always tell us to open our canvas,it helped me to communicate with my instructor,I can answer the quiz and exam ,sometimes the quizzes are not in the modules,i need 1 month tbh
Sometimes the internet is slow.,I rather use internet browser than mobile app.,We can use open lab to access our canvas account,It's more faster than wireless internet connection,I don't know where will I go if I have problem with my canvas account,Unless I don't have internet,By using powerpoint presentation,Its is sort by week/s,This why I don't use mobile application,I don't use mobile application,It's the same modules,I can access anywhere,It's motivating,I can have easy access anywhere,It's required,It's hard to study if the teacher don't know they are talking about,We can have easy access,My instructor is not replying in canvas,We want notification before the deadline,The modules on Canvas is the reviewer,We need notification before the deadline
"Yes, I can easily access my Canvas Account.",I always use my mobile to access Canvas app. It works really well,Any computer inside lab or JRU works fine when accessing Canvas.,"Sometimes the wired internet connection is slow, thus, doing projects and activities really stressful",IT department handles the concern in a timely manner,With a good internet connection and acceptable computer.,It can easily be accessed.,Well organized indeed.,Some of the courses sometimes is not showing in the canvas courses tab.,"Yes, It works fine for me.",Depends with the professors.,Good job by the professors.,"Yes, It is fun. More activities I may suggest.","as long as the canvas material are available, it will help students a lot.","Yes, most of the time. Maybe for new professor I guess they need time to get used of the canvas uploading system.",Most of the time they are.,We always use canvas.,"There is always a forum for the subject itself. However , most of the time irregular students are not being included in the forum.",Yes. We can access it all the time,It is always aligned to the tasks at hand.,"Most of the time, yes!"
the computer and the internet is fast for us to log in and logout easily,it's more easy for us because even though where not in school were able to access our canvas acc,i can easily access my account in our computer lab,yes there is no problem lin log in and logout of canvas,there is a student assistant in our laboratory when there is a problem were able to call them and ask for help,it's more easy for us because even though where not in school were able to access our canvas acc,yes because all of the lessons are in the canvas,yes because they already fix it ,yes i can easily manage it,yes i can easily manage the navigation,yes yes yes yes,yes because of the help of course materials in canvas we can easily access it,yes im interested,because of it we can easily answers all of the questions,yes because we always use canvas in our laboratory activities,yes,Yes because all of our laboratory activities must be sumbitted in canvas,yes because canvas have inbox for us to be able to communicate with our classmates,yes because all of out prof is putting quiz and a date so we can able to answer it on time,the quiz exam and activities are in date in canvas we have 1 week to be able to sumbit it,yes
I can easily login but the internet is too slow to open up the account.,Can access but the app is too slow.,"some of the computers have no internet connection, or the pc is too slow.",Even though we use our accounts in our phones it's still too slow.,Yes because someone will guide you.,i have no problem with this.,sometimes it's too difficult to see what's our modules because it's not fully organize.,It's not organized that well and sometimes we don't get notifications in our subs.,The site needs to be more user-friendly and more easier to use.,the app version is nice.,no i didn't notice.,it helps alot.,i think it's much better to just put all the subjects to the main timeline for us easily see the subjects.,sometimes we don't get notifications for quizzes and etc.,it's better to have a prof that how knowledge about the canvas than those profs who doesn't care about his/her students.,"a prof that knows how to teach, is an amazing prof.","my prof always makes us use canvas prof quizzes, and everything",can only share ideas,"sometimes no, because we don't always get notifications.",only the exams that notify us.,how can we know if there's still time if the app don't even notify us.
it can easily modify,When in other lab the units are slow,it can easily access my canvas account in other units in JRU,Sometimes in other units in JRU have an internet connection issue,Because it takes long time to get help ,"yes , because canvas is for jru students",The lessons on my canvas is easily modify by the Title,It can easily recognize because it has the title on it,yes because the canvas is well compromised,yes because the canvas is well compromised,it depends on the prof ,yes i understand the lesson better and course materials is very helpful,"yes , because the canvas is a user friendly", its helps because we can review about the previous lesson that we will taken,in other subject the instructor of ours is not applicable using canvas,yes they demonstrate the subject matter,for every meeting they always told us to use canvas ,"yes , canvas made easy for me to share my opions in group discussions","yes , the quiz and exam that we will take is so very compromised",i find course materials on canvas where you can see the title,I have been give enough time to accomplish the activities on Canvas
internet connection inside the jru is poor ,I can able to do the online activities,"But sometimes, laboratories are not available.",Wired connection is slow sometimes,people in h201 are willing to help anytime,Mobile app can be downloaded,sometimes the PPT designs are irritating,It is sorted by time,Desktop version is easier than the mobile version,Dashboard is easy to use,Some discussion in Online  are not sync with the face to face,Course materials provided in Canvas is essential in our learning process,some powerpoint touches my interest to finish reading that material,Some contents in Canvas are not used in face to face,They are trained,She provides good scenarios ,Yes everytime ,Forums enables us to talk online ,Yes if the access code is provided ,The materials should be aligned with the teachings of our instructor,Yes she always give us enough time 
The internet most of the time is slow,i have not yet downloaded the application,yes but sometimes it is slow to access,sometimes the internet is slow,i dont usually get problems with my account,"yes, at home",i understand the lessons on my canvas,yes it is clearly organized,yes but sometimes it is slow,i have not yet downloaded the application,yes it has connection,yes it is very useful,it makes me very interested,it helped me a lot,she knows it very well,she demonstrated the mastery of the subject matter very well,every meeting she encourages all of us,canvas is always updated,i can answer it on time,it is aligned and clear,it give us enough time to answer
Strongly Agree because I can easily log-in and log-out my canvas account,I can access my course using mobile canvas app,Strongly Agree because I can access my Canvas account using the available computers in JRU. ,I have no issues accessing my canvas account,yes I can easily get help when I have problems with my Canvas account,yes I can access my Canvas account outside JRU,yes I can clearly understand the lessons on my Canvas modules.,I strongly agree that the modules in my course are well organized,yes I can easily manage the navigation of the courses through the desktop version,yes I can easily manage the navigation of the courses through the mobile app.,yes I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,yes I understand the lessons better with the help of course materials in Canvas.,yes Canvas course materials make me interested,"I strongly agree that The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments and forums.",My instructor knows how to use Canvas,i strongly agree that my instructor demonstrated mastery of the subject matter,My instructor encourages me to use Canvas,"i strongly agree that Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions",yes i can answer the assessment materials posted in canvas,"i strongly agree , I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, ","I strongly agree , I have been give enough time to accomplish the activities on Canvas"
